Open,Last update,Platform,Symbol,Timeframe,Account balance at open,Size,Expected close,Expiry,Close,Status,Side,Opening price,Closing price,Take profit,Stop loss,Leverage,TP price %,SL price %,Expected profit,Risk %,R/R ratio,PnL
14/11/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,100000.0,0.967,12/12/2021 00:00:00,05/12/2021 00:00:00,21/11/2021 00:00:00,STOP_LOSS_HIT,LONG,59770.0,57702.35,61837.65,57702.35,0.578,3.34,3.58,1999.42,2,1.0,-1999.42
22/07/2018 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,98000.58,1.934,19/08/2018 00:00:00,12/08/2018 00:00:00,29/07/2018 00:00:00,STOP_LOSS_HIT,LONG,8235.0,7221.36,9248.64,7221.36,0.163,10.96,14.04,1960.38,2,1.0,-1960.38
17/04/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,96040.2,0.499,15/05/2022 00:00:00,08/05/2022 00:00:00,01/05/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,39440.0,35591.74,35591.74,43288.26,0.205,10.81,8.89,1920.28,2,1.0,1920.28
07/08/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97960.48,2.151,04/09/2022 00:00:00,28/08/2022 00:00:00,14/08/2022 00:00:00,TAKE_PROFIT_HIT,SHORT,24451.0,23540.07,23540.07,25361.93,0.537,3.87,3.59,1959.41,2,1.0,1959.41
14/02/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,99919.89,0.192,14/03/2021 00:00:00,07/03/2021 00:00:00,21/02/2021 00:00:00,STOP_LOSS_HIT,LONG,56007.0,45624.13,66389.88,45624.13,0.108,15.64,22.76,1993.51,2,1.0,-1993.51
29/12/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97926.38,5.045,19/01/2020 00:00:00,19/01/2020 00:00:00,05/01/2020 00:00:00,TAKE_PROFIT_HIT,LONG,7353.0,7741.18,7741.18,6964.82,0.379,5.01,5.57,1958.37,2,1.0,1958.37
22/07/2018 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,99884.75,1.971,19/08/2018 00:00:00,12/08/2018 00:00:00,29/07/2018 00:00:00,STOP_LOSS_HIT,LONG,8235.0,7221.36,9248.64,7221.36,0.162,10.96,14.04,1997.88,2,1.0,-1997.88
31/01/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97886.87,0.281,21/02/2021 00:00:00,21/02/2021 00:00:00,07/02/2021 00:00:00,TAKE_PROFIT_HIT,LONG,39288.0,46253.76,46253.76,32322.24,0.113,15.06,21.55,1957.38,2,1.0,1957.38
02/05/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,99844.25,0.219,30/05/2021 00:00:00,23/05/2021 00:00:00,09/05/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,58983.0,49879.62,49879.62,68086.39,0.129,18.25,13.37,1993.64,2,1.0,1993.64
16/05/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,101837.89,1.051,30/05/2021 00:00:00,06/06/2021 00:00:00,23/05/2021 00:00:00,STOP_LOSS_HIT,SHORT,37496.0,39433.47,35558.54,39433.47,0.387,5.45,4.91,2036.27,2,1.0,-2036.28
10/01/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,99801.61,0.329,07/02/2021 00:00:00,31/01/2021 00:00:00,17/01/2021 00:00:00,STOP_LOSS_HIT,LONG,36019.0,29955.65,42082.35,29955.65,0.119,14.41,20.24,1994.84,2,1.0,-1994.84
10/05/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97806.77,1.346,07/06/2020 00:00:00,31/05/2020 00:00:00,31/05/2020 00:00:00,EXPIRED,LONG,9390.0,9674.0,10842.95,7937.05,0.129,13.4,18.31,1955.67,2,1.0,382.26
24/05/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,98189.03,3.131,21/06/2020 00:00:00,14/06/2020 00:00:00,31/05/2020 00:00:00,STOP_LOSS_HIT,SHORT,9701.0,10328.17,9073.83,10328.17,0.309,6.91,6.07,1963.67,2,1.0,-1963.67
19/05/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,96225.36,2.271,16/06/2019 00:00:00,09/06/2019 00:00:00,26/05/2019 00:00:00,TAKE_PROFIT_HIT,LONG,8075.0,8922.35,8922.35,7227.65,0.191,9.5,11.72,1924.33,2,1.0,1924.33
10/06/2018 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,98149.69,13.859,24/06/2018 00:00:00,01/07/2018 00:00:00,17/06/2018 00:00:00,STOP_LOSS_HIT,SHORT,6487.0,6628.64,6345.36,6628.64,0.916,2.23,2.14,1962.99,2,1.0,-1962.99
31/01/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,96186.7,0.276,21/02/2021 00:00:00,21/02/2021 00:00:00,07/02/2021 00:00:00,TAKE_PROFIT_HIT,LONG,39288.0,46253.76,46253.76,32322.24,0.113,15.06,21.55,1922.55,2,1.0,1922.55
28/11/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,98109.25,1.578,19/12/2021 00:00:00,19/12/2021 00:00:00,05/12/2021 00:00:00,STOP_LOSS_HIT,SHORT,49239.0,50482.74,47995.27,50482.74,0.792,2.59,2.46,1962.61,2,1.0,-1962.62
25/03/2018 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,96146.63,9.169,08/04/2018 00:00:00,15/04/2018 00:00:00,01/04/2018 00:00:00,STOP_LOSS_HIT,SHORT,6921.0,7130.72,6711.28,7130.72,0.66,3.12,2.94,1922.92,2,1.0,-1922.92
10/04/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,94223.71,0.997,08/05/2022 00:00:00,01/05/2022 00:00:00,17/04/2022 00:00:00,TAKE_PROFIT_HIT,LONG,40394.0,42284.42,42284.42,38503.59,0.427,4.47,4.91,1884.75,2,1.0,1884.75
28/04/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,96108.46,2.173,26/05/2019 00:00:00,19/05/2019 00:00:00,05/05/2019 00:00:00,TAKE_PROFIT_HIT,LONG,5770.0,6654.51,6654.51,4885.49,0.13,13.29,18.1,1922.04,2,1.0,1922.04
16/08/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,98030.5,2.181,13/09/2020 00:00:00,06/09/2020 00:00:00,30/08/2020 00:00:00,STOP_LOSS_HIT,LONG,11680.0,10781.21,12578.79,10781.21,0.26,7.15,8.34,1960.26,2,1.0,-1960.26
15/01/2023 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,96070.24,0.528,12/02/2023 00:00:00,05/02/2023 00:00:00,05/02/2023 00:00:00,EXPIRED,LONG,22790.0,21860.0,26429.4,19150.6,0.125,13.77,19.0,1921.6,2,1.0,-491.04
04/08/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,95579.2,5.998,01/09/2019 00:00:00,25/08/2019 00:00:00,11/08/2019 00:00:00,TAKE_PROFIT_HIT,SHORT,11284.0,10965.28,10965.28,11602.72,0.708,2.91,2.75,1911.68,2,1.0,1911.68
20/12/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,97490.88,0.343,17/01/2021 00:00:00,10/01/2021 00:00:00,27/12/2020 00:00:00,TAKE_PROFIT_HIT,LONG,26453.0,32140.26,32140.26,20765.75,0.093,17.7,27.39,1950.73,2,1.0,1950.73
19/04/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,99441.61,3.124,10/05/2020 00:00:00,10/05/2020 00:00:00,26/04/2020 00:00:00,TAKE_PROFIT_HIT,LONG,7548.0,8184.73,8184.73,6911.27,0.237,7.78,9.21,1989.14,2,1.0,1989.14
28/04/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,101430.75,2.293,26/05/2019 00:00:00,19/05/2019 00:00:00,05/05/2019 00:00:00,TAKE_PROFIT_HIT,LONG,5770.0,6654.51,6654.51,4885.49,0.13,13.29,18.1,2028.18,2,1.0,2028.18
28/02/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,103458.93,0.243,28/03/2021 00:00:00,21/03/2021 00:00:00,07/03/2021 00:00:00,TAKE_PROFIT_HIT,LONG,48897.0,57399.14,57399.14,40394.86,0.115,14.81,21.05,2066.02,2,1.0,2066.02
07/04/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,105524.95,3.119,05/05/2019 00:00:00,28/04/2019 00:00:00,28/04/2019 00:00:00,TAKE_PROFIT_HIT,LONG,5069.0,5745.7,5745.7,4392.3,0.15,11.78,15.41,2110.63,2,1.0,2110.63
23/10/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,107635.58,3.455,20/11/2022 00:00:00,13/11/2022 00:00:00,30/10/2022 00:00:00,STOP_LOSS_HIT,SHORT,20822.0,21445.09,20198.91,21445.09,0.668,3.08,2.91,2152.78,2,1.0,-2152.78
02/05/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,105482.8,0.232,30/05/2021 00:00:00,23/05/2021 00:00:00,09/05/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,58983.0,49879.62,49879.62,68086.39,0.13,18.25,13.37,2111.98,2,1.0,2111.98
16/06/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,107594.78,1.928,14/07/2019 00:00:00,07/07/2019 00:00:00,23/06/2019 00:00:00,TAKE_PROFIT_HIT,LONG,10676.0,11792.4,11792.4,9559.6,0.191,9.47,11.68,2152.42,2,1.0,2152.42
04/11/2018 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,109747.2,5.093,25/11/2018 00:00:00,25/11/2018 00:00:00,11/11/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,6350.0,5919.04,5919.04,6780.96,0.295,7.28,6.36,2194.88,2,1.0,2194.88
08/03/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,111942.08,6.558,15/03/2020 00:00:00,29/03/2020 00:00:00,15/03/2020 00:00:00,STOP_LOSS_HIT,SHORT,5169.0,5510.4,4827.6,5510.4,0.303,7.07,6.2,2238.9,2,1.0,-2238.9
11/08/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,109703.18,4.931,01/09/2019 00:00:00,01/09/2019 00:00:00,18/08/2019 00:00:00,STOP_LOSS_HIT,SHORT,10199.0,10643.98,9754.02,10643.98,0.458,4.56,4.18,2194.2,2,1.0,-2194.2
14/08/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,107508.98,0.772,11/09/2022 00:00:00,04/09/2022 00:00:00,04/09/2022 00:00:00,EXPIRED,LONG,21138.0,21649.0,23923.54,18352.46,0.152,11.64,15.18,2150.44,2,1.0,394.49
31/10/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,107903.47,0.418,28/11/2021 00:00:00,21/11/2021 00:00:00,07/11/2021 00:00:00,TAKE_PROFIT_HIT,LONG,61557.0,66716.63,66716.63,56397.38,0.238,7.73,9.15,2156.73,2,1.0,2156.73
22/01/2023 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,110060.2,0.581,19/02/2023 00:00:00,12/02/2023 00:00:00,12/02/2023 00:00:00,EXPIRED,LONG,23031.0,24633.0,26817.19,19244.81,0.122,14.12,19.67,2199.78,2,1.0,930.76
19/01/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,110990.96,1.507,16/02/2020 00:00:00,09/02/2020 00:00:00,02/02/2020 00:00:00,TAKE_PROFIT_HIT,LONG,8330.0,9802.89,9802.89,6857.11,0.113,15.03,21.48,2219.65,2,1.0,2219.65
24/05/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,113210.61,3.61,21/06/2020 00:00:00,14/06/2020 00:00:00,31/05/2020 00:00:00,STOP_LOSS_HIT,SHORT,9701.0,10328.17,9073.83,10328.17,0.309,6.91,6.07,2264.08,2,1.0,-2264.08
09/06/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,110946.53,1.398,30/06/2019 00:00:00,30/06/2019 00:00:00,16/06/2019 00:00:00,TAKE_PROFIT_HIT,LONG,8853.0,10440.17,10440.17,7265.84,0.112,15.2,21.84,2218.86,2,1.0,2218.86
12/08/2018 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,113165.39,7.998,09/09/2018 00:00:00,02/09/2018 00:00:00,19/08/2018 00:00:00,TAKE_PROFIT_HIT,LONG,6390.0,6672.99,6672.99,6107.01,0.452,4.24,4.63,2263.35,2,1.0,2263.35
24/04/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,115428.74,1.721,22/05/2022 00:00:00,15/05/2022 00:00:00,01/05/2022 00:00:00,STOP_LOSS_HIT,SHORT,37650.0,38991.45,36308.55,38991.45,0.561,3.69,3.44,2308.64,2,1.0,-2308.64
27/12/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,113120.1,0.377,24/01/2021 00:00:00,17/01/2021 00:00:00,03/01/2021 00:00:00,TAKE_PROFIT_HIT,LONG,32214.0,38219.88,38219.88,26208.12,0.107,15.71,22.92,2264.22,2,1.0,2264.22
28/10/2018 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,115384.32,4.631,25/11/2018 00:00:00,18/11/2018 00:00:00,11/11/2018 00:00:00,TAKE_PROFIT_HIT,SHORT,6332.0,5833.65,5833.65,6830.35,0.254,8.54,7.3,2307.86,2,1.0,2307.86
23/10/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,117692.18,3.778,20/11/2022 00:00:00,13/11/2022 00:00:00,30/10/2022 00:00:00,STOP_LOSS_HIT,SHORT,20822.0,21445.09,20198.91,21445.09,0.668,3.08,2.91,2354.03,2,1.0,-2354.03
18/10/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,115338.15,1.333,15/11/2020 00:00:00,08/11/2020 00:00:00,01/11/2020 00:00:00,TAKE_PROFIT_HIT,LONG,13130.0,14861.06,14861.06,11398.94,0.152,11.65,15.19,2307.5,2,1.0,2307.5
08/11/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,117645.65,0.964,06/12/2020 00:00:00,29/11/2020 00:00:00,15/11/2020 00:00:00,TAKE_PROFIT_HIT,LONG,16089.0,18530.47,18530.47,13647.53,0.132,13.18,17.89,2353.58,2,1.0,2353.58
24/05/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,119999.23,3.827,21/06/2020 00:00:00,14/06/2020 00:00:00,31/05/2020 00:00:00,STOP_LOSS_HIT,SHORT,9701.0,10328.17,9073.83,10328.17,0.309,6.91,6.07,2400.18,2,1.0,-2400.18
09/05/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,117599.05,0.405,30/05/2021 00:00:00,30/05/2021 00:00:00,16/05/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,46770.0,40969.08,40969.08,52570.93,0.161,14.16,11.03,2349.37,2,1.0,2349.37
26/01/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,119948.42,1.528,23/02/2020 00:00:00,16/02/2020 00:00:00,16/02/2020 00:00:00,EXPIRED,LONG,9381.0,9676.0,10951.27,7810.73,0.12,14.34,20.1,2399.37,2,1.0,450.76
21/04/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,120399.18,3.891,19/05/2019 00:00:00,12/05/2019 00:00:00,28/04/2019 00:00:00,TAKE_PROFIT_HIT,LONG,5174.0,5792.84,5792.84,4555.16,0.167,10.68,13.59,2407.91,2,1.0,2407.91
29/03/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,122807.09,9.286,26/04/2020 00:00:00,19/04/2020 00:00:00,05/04/2020 00:00:00,TAKE_PROFIT_HIT,LONG,6870.0,7134.5,7134.5,6605.51,0.519,3.71,4.0,2456.15,2,1.0,2456.15
24/02/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,125263.24,3.886,24/03/2019 00:00:00,17/03/2019 00:00:00,17/03/2019 00:00:00,EXPIRED,LONG,3812.0,3982.0,4456.63,3167.37,0.118,14.46,20.35,2505.03,2,1.0,660.62
03/04/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,125923.86,0.652,01/05/2022 00:00:00,24/04/2022 00:00:00,17/04/2022 00:00:00,STOP_LOSS_HIT,LONG,42772.0,38906.74,46637.26,38906.74,0.221,8.29,9.93,2520.15,2,1.0,-2520.15
25/04/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,123403.71,0.879,23/05/2021 00:00:00,16/05/2021 00:00:00,02/05/2021 00:00:00,TAKE_PROFIT_HIT,SHORT,57869.0,55060.16,55060.16,60677.84,0.412,5.1,4.63,2468.97,2,1.0,2468.97
27/12/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,125872.68,0.419,24/01/2021 00:00:00,17/01/2021 00:00:00,03/01/2021 00:00:00,TAKE_PROFIT_HIT,LONG,32214.0,38219.88,38219.88,26208.12,0.107,15.71,22.92,2516.46,2,1.0,2516.46
28/03/2021 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,128389.14,1.918,25/04/2021 00:00:00,18/04/2021 00:00:00,04/04/2021 00:00:00,STOP_LOSS_HIT,SHORT,57109.0,58447.62,55770.38,58447.62,0.853,2.4,2.29,2567.47,2,1.0,-2567.47
15/01/2023 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,125821.67,0.691,12/02/2023 00:00:00,05/02/2023 00:00:00,05/02/2023 00:00:00,EXPIRED,LONG,22790.0,21860.0,26429.4,19150.6,0.125,13.77,19.0,2514.83,2,1.0,-642.63
26/04/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,125179.04,2.692,17/05/2020 00:00:00,17/05/2020 00:00:00,03/05/2020 00:00:00,TAKE_PROFIT_HIT,LONG,8977.0,9907.02,9907.02,8046.98,0.193,9.39,11.56,2503.61,2,1.0,2503.61
17/03/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,127682.65,5.003,14/04/2019 00:00:00,07/04/2019 00:00:00,31/03/2019 00:00:00,TAKE_PROFIT_HIT,LONG,3982.0,4492.4,4492.4,3471.6,0.156,11.36,14.7,2553.53,2,1.0,2553.53
16/01/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,130236.18,2.971,23/01/2022 00:00:00,06/02/2022 00:00:00,23/01/2022 00:00:00,STOP_LOSS_HIT,SHORT,35082.0,35958.79,34205.21,35958.79,0.8,2.56,2.44,2604.94,2,1.0,-2604.94
16/01/2022 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,127631.24,2.911,23/01/2022 00:00:00,06/02/2022 00:00:00,23/01/2022 00:00:00,STOP_LOSS_HIT,SHORT,35082.0,35958.79,34205.21,35958.79,0.8,2.56,2.44,2552.34,2,1.0,-2552.34
27/12/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,125078.9,0.417,24/01/2021 00:00:00,17/01/2021 00:00:00,03/01/2021 00:00:00,TAKE_PROFIT_HIT,LONG,32214.0,38219.88,38219.88,26208.12,0.107,15.71,22.92,2504.45,2,1.0,2504.45
30/06/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,127583.35,1.694,28/07/2019 00:00:00,21/07/2019 00:00:00,07/07/2019 00:00:00,TAKE_PROFIT_HIT,LONG,11242.0,12748.72,12748.72,9735.28,0.149,11.82,15.48,2552.38,2,1.0,2552.38
15/12/2019 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,130135.73,21.066,12/01/2020 00:00:00,05/01/2020 00:00:00,22/12/2019 00:00:00,TAKE_PROFIT_HIT,LONG,7140.0,7263.55,7263.55,7016.45,1.156,1.7,1.76,2602.7,2,1.0,2602.7
22/01/2023 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,132738.43,0.701,19/02/2023 00:00:00,12/02/2023 00:00:00,12/02/2023 00:00:00,EXPIRED,LONG,23031.0,24633.0,26817.19,19244.81,0.122,14.12,19.67,2654.12,2,1.0,1123.0
25/10/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,133861.43,1.057,22/11/2020 00:00:00,15/11/2020 00:00:00,08/11/2020 00:00:00,TAKE_PROFIT_HIT,LONG,13809.0,16342.99,16342.99,11275.01,0.109,15.51,22.47,2678.43,2,1.0,2678.43
12/04/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,136539.86,3.052,10/05/2020 00:00:00,03/05/2020 00:00:00,26/04/2020 00:00:00,TAKE_PROFIT_HIT,LONG,7266.0,8160.87,8160.87,6371.13,0.162,10.97,14.05,2731.14,2,1.0,2731.14
19/04/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,139271.0,4.375,10/05/2020 00:00:00,10/05/2020 00:00:00,26/04/2020 00:00:00,TAKE_PROFIT_HIT,LONG,7548.0,8184.73,8184.73,6911.27,0.237,7.78,9.21,2785.69,2,1.0,2785.69
11/10/2020 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,142056.69,4.141,08/11/2020 00:00:00,01/11/2020 00:00:00,18/10/2020 00:00:00,TAKE_PROFIT_HIT,LONG,11371.0,12057.03,12057.03,10684.98,0.331,5.69,6.42,2840.85,2,1.0,2840.85
22/04/2018 00:00:00,16/06/2023 15:45:23,Upscale-Upscale-Gemini_BTCUSD_1h_17_12_17_to_10_03_23.csv,BTC_USD,WEEK,144897.54,13.584,06/05/2018 00:00:00,13/05/2018 00:00:00,29/04/2018 00:00:00,STOP_LOSS_HIT,LONG,9344.0,9130.66,9557.34,9130.66,0.876,2.23,2.34,2898.01,2,1.0,-2898.01
